seqnames	start	end	strand	gene_id	symbol
chr1	3143476	3144545	+	ENSMUSG00000102693	4933401J01Rik
chr1	3172239	3172348	+	115487594	Gm26206
chr1	3276124	3742031	-	497097	Xkr4
chr1	3322980	3323459	+	100418032	Gm18956
chr1	3435954	3438772	-	ENSMUSG00000103377	Gm37180
chr1	3445779	3448011	-	ENSMUSG00000104017	Gm37363
chr1	3535200	3537508	-	ENSMUSG00000103025	Gm37686
chr1	3536794	3583776	+	ENSMUSG00000089699	Gm1992
chr1	3582674	3584730	-	ENSMUSG00000103201	Gm37329
chr1	3602018	3602943	+	664792	Gm7341
chr1	3663115	3666126	-	ENSMUSG00000103161	Gm38148
chr1	3717532	3729127	-	ENSMUSG00000102331	Gm19938
chr1	3750378	3752011	+	ENSMUSG00000102348	Gm10568
chr1	3822233	3824583	+	ENSMUSG00000102592	Gm38385
chr1	3854099	3854156	-	115487633	Gm27396
chr1	3943429	4018627	+	ENSMUSG00000142494	Gm71132
chr1	3975962	4056438	-	ENSMUSG00000102343	Gm37381
chr1	4023806	4026747	-	ENSMUSG00000133908	Gm70642
chr1	4069780	4479506	-	19888	Rp1
chr1	4326457	4330742	-	619785	Gm6101
chr1	4433569	4435052	-	ENSMUSG00000104123	Gm37483
chr1	4437887	4482971	-	ENSMUSG00000135717	Gm70753
chr1	4502439	4503914	-	ENSMUSG00000139157	Gm70932
chr1	4561151	4567784	-	20671	Sox17
chr1	4566774	4569786	+	ENSMUSG00000104238	Gm37587
chr1	4593128	4596960	+	664830	Gm7357
chr1	4599240	4599346	+	115487712	Gm22307
chr1	4605060	4605509	-	ENSMUSG00000103003	Gm38076
chr1	4653335	4687803	-	108167609	Gm37323
chr1	4679170	4688044	+	102631571	ENSMUSG00000131850
chr1	4680694	4681629	+	ENSMUSG00000102735	Gm7369
chr1	4758157	4759626	-	ENSMUSG00000098104	Gm6085
chr1	4762442	4763647	-	ENSMUSG00000102175	Gm6119
chr1	4792576	4817539	+	ENSMUSG00000135930	Gm70763
chr1	4793500	4793602	-	ENSMUSG00002075947	Gm56275
chr1	4805269	4805899	-	100039121	Gm2053
chr1	4841354	4842422	+	620009	Gm6123
chr1	4843429	4855972	-	27395	Mrpl15
chr1	4848286	4849435	-	ENSMUSG00000102275	Gm37144
chr1	4855979	4874316	+	ENSMUSG00000120403	A930006A01Rik
chr1	4877487	4877953	-	ENSMUSG00000136002	Gm70766
chr1	4877884	4925598	+	18777	Lypla1
chr1	4878115	4956993	+	ENSMUSG00000104217	Gm37988
chr1	4927487	4927854	-	ENSMUSG00000137875	Gm70868
chr1	4927691	4970151	+	21399	Tcea1
chr1	4950272	4950874	-	ENSMUSG00000062588	Gm6104
chr1	4975974	4977084	-	ENSMUSG00000103280	Gm37277
chr1	4979779	5140561	-	58175	Rgs20
chr1	4997251	4997522	-	ENSMUSG00000091305	Gm17100
chr1	5008799	5010933	-	ENSMUSG00000102653	Gm37079
chr1	5041080	5047043	+	102631647	Gm16041
chr1	5089010	5234940	+	108664	Atp6v1h
chr1	5133283	5134870	+	100417473	Gm17101
chr1	5204974	5213367	-	ENSMUSG00000143188	Gm71170
chr1	5346329	5347560	-	ENSMUSG00000104352	Gm7182
chr1	5357817	5417356	+	ENSMUSG00000143351	Gm71178
chr1	5377962	5380240	+	ENSMUSG00000104046	Gm37567
chr1	5473770	5475801	+	ENSMUSG00000102907	Gm38264
chr1	5658667	5676375	+	18387	Oprk1
chr1	5688060	5688453	-	ENSMUSG00000103936	Gm36965
chr1	5714868	5714968	-	ENSMUSG00002076544	Gm56304
chr1	5913097	5914895	-	ENSMUSG00000103519	Gm37429
chr1	5983926	5987617	-	226304	Npbwr1
chr1	6119187	6120269	-	100418441	Gm19214
chr1	6234353	6285517	-	ENSMUSG00000090031	4732440D04Rik
chr1	6276421	6377444	+	12421	Rb1cc1
chr1	6429442	6465174	+	620393	Alkal1
chr1	6447707	6453291	-	ENSMUSG00000143943	Gm71332
chr1	6450618	6451256	+	ENSMUSG00000103355	Gm2147
chr1	6452858	6453330	-	ENSMUSG00000102706	Gm7417
chr1	6476015	6499052	-	ENSMUSG00000141243	Gm71043
chr1	6499879	6511520	-	100418138	Gm19026
chr1	6557455	6931164	+	240690	St18
