seqnames	start	end	width	strand	gene_id	symbol
chr1	69091	70008	918	+	79501	OR4F5
chr1	139790	140339	550	-	729737	LOC729737
chr1	585990	629010	43021	-	101928626	LOC101928626
chr1	632325	632413	89	-	102465432	NA
chr1	817371	819837	2467	+	400728	FAM87B
chr1	825138	859446	34309	+	643837	LINC01128
chr1	826206	827522	1317	-	79854	LINC00115
chr1	868071	876903	8833	-	284593	FAM41C
chr1	916870	919692	2823	-	100130417	LINC02593
chr1	924880	944581	19702	+	148398	SAMD11
chr1	944204	959309	15106	-	26155	NOC2L
chr1	960587	965715	5129	+	339451	KLHL17
chr1	966497	975865	9369	+	84069	PLEKHN1
chr1	975204	982093	6890	-	84808	PERM1
chr1	998962	1000172	1211	-	57801	HES4
chr1	1001138	1014541	13404	+	9636	ISG15
chr1	1020123	1056118	35996	+	375790	AGRN
chr1	1070966	1074307	3342	-	401934	RNF223
chr1	1081818	1116361	34544	-	54991	C1orf159
chr1	1137017	1144056	7040	+	254099	LINC01342
chr1	1167092	1167202	111	+	406984	MIR200B
chr1	1167846	1167956	111	+	406983	MIR200A
chr1	1169005	1169087	83	+	554210	MIR429
chr1	1173884	1197935	24052	+	254173	TTLL10
chr1	1203508	1206691	3184	-	8784	TNFRSF18
chr1	1211326	1214138	2813	-	7293	TNFRSF4
chr1	1216908	1232031	15124	-	51150	SDF4
chr1	1232265	1235041	2777	+	126792	B3GALT6
chr1	1242446	1246722	4277	-	388581	C1QTNF12
chr1	1253909	1273885	19977	-	118424	UBE2J2
chr1	1280436	1292029	11594	+	6339	SCNN1D
chr1	1292376	1309609	17234	-	116983	ACAP3
chr1	1296110	1296170	61	-	102465434	MIR6726
chr1	1308567	1311677	3111	+	126789	PUSL1
chr1	1311585	1324691	13107	-	54973	INTS11
chr1	1312502	1312566	65	-	102465435	MIR6727
chr1	1324756	1328897	4142	+	80772	CPTP
chr1	1331314	1335306	3993	+	83756	TAS1R3
chr1	1335276	1349350	14075	-	1855	DVL1
chr1	1339650	1339708	59	-	102466740	MIR6808
chr1	1352689	1361777	9089	-	54587	MXRA8
chr1	1373730	1375495	1766	-	54998	AURKAIP1
chr1	1385711	1399328	13618	-	81669	CCNL2
chr1	1399522	1402046	2525	+	148413	MRPL20-AS1
chr1	1401908	1407313	5406	-	55052	MRPL20
chr1	1418420	1421769	3350	-	441869	ANKRD65
chr1	1426128	1427787	1660	+	643965	TMEM88B
chr1	1430539	1434573	4035	-	102724312	LINC01770
chr1	1434861	1442882	8022	+	64856	VWA1
chr1	1449689	1470158	20470	+	219293	ATAD3C
chr1	1471769	1497848	26080	+	83858	ATAD3B
chr1	1512151	1534687	22537	+	55210	ATAD3A
chr1	1535174	1540453	5280	-	339453	TMEM240
chr1	1541673	1574869	33197	-	29101	SSU72
chr1	1598012	1600096	2085	-	643988	FNDC10
chr1	1615415	1630610	15196	+	142678	MIB2
chr1	1632095	1701810	69716	+	8510	MMP23B
chr1	1632783	1634651	1869	+	8511	MMP23A
chr1	1635227	1659012	23786	-	984	CDK11B
chr1	1659529	1692728	33200	-	728661	SLC35E2B
chr1	1702730	1737688	34959	-	728642	CDK11A
chr1	1724838	1745992	21155	-	9906	SLC35E2A
chr1	1751232	1780457	29226	-	65220	NADK
chr1	1785285	1891117	105833	-	2782	GNB1
chr1	1914827	1917296	2470	+	163688	CALML6
chr1	1917590	1919273	1684	-	339456	TMEM52
chr1	1921951	2003837	81887	-	85452	CFAP74
chr1	2019324	2030751	11428	+	2563	GABRD
chr1	2050470	2185395	134926	+	5590	PRKCZ
chr1	2184461	2212720	28260	-	199990	FAAP20
chr1	2228695	2310119	81425	+	6497	SKI
chr1	2321253	2391707	70455	-	79906	MORN1
chr1	2391775	2405444	13670	+	11079	RER1
chr1	2403964	2413797	9834	-	5192	PEX10
chr1	2425980	2505530	79551	+	9651	PLCH2
chr1	2508533	2526628	18096	-	55229	PANK4
chr1	2528745	2530245	1501	-	388585	HES5
chr1	2549920	2557031	7112	-	115110	TNFRSF14-AS1
chr1	2555639	2565382	9744	+	8764	TNFRSF14
chr1	2566410	2584533	18124	+	100996583	LOC100996583
chr1	2586491	2591469	4979	+	127281	PRXL2B
chr1	2590639	2632990	42352	-	79258	MMEL1
chr1	2635976	2789755	153780	-	100287898	TTC34
chr1	3021483	3022903	1421	+	140625	ACTRT2
chr1	3059615	3068437	8823	-	440556	LINC00982
chr1	3069168	3438621	369454	+	63976	PRDM16
chr1	3454426	3481113	26688	+	27237	ARHGEF16
chr1	3489920	3611495	121576	-	1953	MEGF6
chr1	3560695	3560790	96	-	693135	MIR551A
chr1	3625002	3630127	5126	+	127262	TPRG1L
chr1	3630767	3652761	21995	-	49856	WRAP73
chr1	3652520	3736201	83682	+	7161	TP73
chr1	3735984	3747336	11353	-	57212	TP73-AS1
chr1	3752398	3771645	19248	+	148870	CCDC27
chr1	3772788	3775982	3195	+	388588	SMIM1
chr1	3778558	3796504	17947	-	57470	LRRC47
chr1	3812081	3857214	45134	-	9731	CEP104
chr1	3857267	3885429	28163	+	1677	DFFB
chr1	3889125	3900293	11169	-	339448	C1orf174
chr1	3900372	3917225	16854	+	100133612	LINC01134
chr1	3940565	3955262	14698	+	728716	LINC01346
chr1	4412027	4424689	12663	+	284661	LINC01777
chr1	4654732	4792534	137803	+	55966	AJAP1
chr1	5564071	5564143	73	+	100616489	NA
chr1	5862672	5862741	70	-	100616421	MIR4689
chr1	5862811	5992473	129663	-	261734	NPHP4
chr1	5991466	6101193	109728	+	8514	KCNAB2
chr1	6101793	6180123	78331	-	26038	CHD5
chr1	6181269	6209389	28121	-	6146	RPL22
chr1	6204840	6205780	941	-	102724450	LOC102724450
chr1	6205475	6221299	15825	+	388591	RNF207
chr1	6221193	6235972	14780	-	23463	ICMT
chr1	6236240	6239444	3205	+	148645	LINC00337
chr1	6244192	6245578	1387	+	390992	HES3
chr1	6247346	6260975	13630	-	387509	GPR153
chr1	6264269	6394391	130123	-	11332	ACOT7
chr1	6412418	6424670	12253	-	54626	HES2
chr1	6424788	6461370	36583	+	83715	ESPN
chr1	6429834	6429896	63	-	100422975	MIR4252
chr1	6461151	6466195	5045	-	8718	TNFRSF25
chr1	6466092	6520061	53970	-	57449	PLEKHG5
chr1	6521347	6554535	33189	-	79707	NOL9
chr1	6555181	6579757	24577	+	80835	TAS1R1
chr1	6580001	6589280	9280	+	3104	ZBTB48
chr1	6590724	6614607	23884	-	9903	KLHL21
chr1	6613685	6624033	10349	+	148479	PHF13
chr1	6624866	6635586	10721	+	90326	THAP3
chr1	6634168	6701924	67757	-	55735	DNAJC11
chr1	6724637	6730012	5376	+	100505887	LINC01672
chr1	6785324	7769706	984383	+	23261	CAMTA1
chr1	7771269	7781432	10164	+	9341	VAMP3
chr1	7784320	7845177	60858	+	8863	PER3
chr1	7843083	7853512	10430	-	10911	UTS2
chr1	7915894	7943165	27272	-	3604	TNFRSF9
chr1	7954291	7985505	31215	+	11315	PARK7
chr1	8004404	8026308	21905	-	54206	ERRFI1
chr1	8202429	8215210	12782	+	102724539	LINC01714
chr1	8317826	8344167	26342	+	50651	SLC45A1
chr1	8352397	8817643	465247	-	473	RERE
chr1	8424645	8434838	10194	+	102724552	RERE-AS1
chr1	8861002	8879249	18248	-	2023	ENO1
chr1	8866502	8866590	89	-	102465436	MIR6728
chr1	8878835	8879894	1060	+	100505975	ENO1-AS1
